Name,Author,Description,Website,Repository,Repo Options,Protocol
mruby-alarm,k0u5uk3,Alarm Module,https://github.com/k0u5uk3/mruby-alarm,https://github.com/k0u5uk3/mruby-alarm.git,"",git
mruby-allegro,cremno,mruby binding to Allegro 5,https://github.com/cremno/mruby-allegro,https://github.com/cremno/mruby-allegro.git,"",git
mruby-allocate,ppibburr,Class allocate,https://github.com/ppibburr/mruby-allocate,https://github.com/ppibburr/mruby-allocate.git,"",git
mruby-ansi-colors,Mav7,Extends String class to use ANSI color escape codes.,https://github.com/Mav7/mruby-ansi-colors,https://github.com/Mav7/mruby-ansi-colors.git,"",git
mruby-apr,Jared Breeden,Cross platform standard library components à la MRI,https://github.com/jbreeden/mruby-apr,https://github.com/jbreeden/mruby-apr.git,"",git
mruby-arduino,kyab,Arduino binding,https://github.com/kyab/mruby-arduino,https://github.com/kyab/mruby-arduino.git,"",git
mruby-argtable,"[""Uchio Kondo"", ""Stewart Heitmann""]",Argtable class,https://github.com/udzura/mruby-argtable,https://github.com/udzura/mruby-argtable.git,"",git
mruby-at_exit,ksss,Kernel.at_exit method,https://github.com/ksss/mruby-at_exit,https://github.com/ksss/mruby-at_exit.git,"",git
mruby-audite,Matthias Georgi,Portable MP3 Player based on libmp123 and portaudio,https://github.com/georgi/mruby-audite,https://github.com/georgi/mruby-audite.git,"",git
mruby-augeas,lutter,Bindings to augeas,https://github.com/hercules-team/mruby-augeas,https://github.com/hercules-team/mruby-augeas,"",git
mruby-avl,randym,Avl Tree implementation,https://github.com/randym/mruby-avl,https://github.com/randym/mruby-avl.git,"",git
mruby-aws-s3,iij,Client library for Amazon's (AWS) S3 REST API,https://github.com/iij/mruby-aws-s3,https://github.com/iij/mruby-aws-s3.git,"",git
mruby-b64,Hendrik Beskow,Base64 for mruby with streaming interface,https://github.com/Asmod4n/mruby-b64,https://github.com/Asmod4n/mruby-b64.git,"",git
mruby-backtrace,crimsonwoods,Display backtrace,https://github.com/crimsonwoods/mruby-backtrace,https://github.com/crimsonwoods/mruby-backtrace.git,"",git
mruby-base32,qtakamitsu,Base32 Encoder/Decoder,https://github.com/qtkmz/mruby-base32,https://github.com/qtkmz/mruby-base32.git,"",git
mruby-base58,h2so5,Base58 Encoder/Decoder,https://github.com/h2so5/mruby-base58,https://github.com/h2so5/mruby-base58.git,"",git
mruby-base64,mattn,Base64 Encoder/Decoder,https://github.com/mattn/mruby-base64,https://github.com/mattn/mruby-base64.git,"",git
mruby-bcrypt,Emanuele Vicentini,OpenBSD-style Blowfish-based password hashing,https://github.com/baldowl/mruby-bcrypt,https://github.com/baldowl/mruby-bcrypt.git,"",git
mruby-bignum,Ray Chason,Self-contained Bignum implementation for mruby,https://github.com/chasonr/mruby-bignum,https://github.com/chasonr/mruby-bignum.git,"",git
mruby-irb-mirb-hostbased,kyab,Hostbased mirb for serial connection,https://github.com/kyab/mruby-bin-mirb-hostbased,https://github.com/kyab/mruby-bin-mirb-hostbased.git,"",git
mruby-bin-mruby-afl,Daniel Bovensiepen <daniel@bovensiepen.net>,mruby interpreter in american fuzzy lop persistent mode,https://github.com/bovi/mruby-bin-mruby-afl,https://github.com/bovi/mruby-bin-mruby-afl.git,"",git
mruby-bin-scite-mruby,Takashi Sawanaka,A SciTE based text editor with mruby scripting extension,https://github.com/sdottaka/mruby-bin-scite-mruby,https://github.com/sdottaka/mruby-bin-scite-mruby.git,"",git
mruby-blendish,Corey Powell,Duangle OUI-blendish bindings.,https://github.com/IceDragon200/mruby-blendish,https://github.com/IceDragon200/mruby-blendish,"",git
mruby-cache,charlescui,mruby inter process share memory cache,https://github.com/charlescui/mruby-cache,https://github.com/charlescui/mruby-cache.git,"",git
mruby-capability,MATSUMOTO Ryosuke,Linux Capability Binding,https://github.com/matsumotory/mruby-capability,https://github.com/matsumotory/mruby-capability.git,"",git
mruby-catch-throw,Corey Powell,catch and throw for mruby.,https://github.com/IceDragon200/mruby-catch-throw,https://github.com/IceDragon200/mruby-catch-throw,"",git
mruby-cfunc,Yuichiro MASUI,Interface to C functions based on libffi.,https://github.com/mobiruby/mruby-cfunc,https://github.com/mobiruby/mruby-cfunc.git,"",git
mruby-cgroup,MATSUMOTO Ryosuke,cgroup binding,https://github.com/matsumotory/mruby-cgroup,https://github.com/matsumotory/mruby-cgroup.git,"",git
mruby-changefinder,MATSUMOTO Ryosuke,Detect change point via continuous outlier and smoothing,https://github.com/matsumotory/mruby-changefinder,https://github.com/matsumotory/mruby-changefinder.git,"",git
mruby-channel,bggd,named FIFO queue with multithreading,https://github.com/bggd/mruby-channel,https://github.com/bggd/mruby-channel.git,"",git
mruby-chipmunk2d,Corey Powell,chipmunk2d bindings,https://github.com/IceDragon200/mruby-chipmunk2d,https://github.com/IceDragon200/mruby-chipmunk2d,"",git
mruby-chrony,Hendrik Beskow,Steady and System clocks for mruby,https://github.com/Asmod4n/mruby-chrono,https://github.com/Asmod4n/mruby-chrono.git,"",git
mruby-cidr,kaihar4,CIDR class,https://github.com/kaihar4/mruby-cidr,https://github.com/kaihar4/mruby-cidr.git,"",git
mruby-cipher,Seiei Miyagi,OpenSSL Cipher wrapper,https://github.com/hanachin/mruby-cipher,https://github.com/hanachin/mruby-cipher.git,"",git
mruby-clang-plugin,Takeshi Watanabe,clang plugin to check mruby API call mistakes.,https://github.com/take-cheeze/mruby-clang-plugin,https://github.com/take-cheeze/mruby-clang-plugin.git,"",git
mruby-cocoa,Yuichiro MASUI,Interface to Cocoa based on Objective-C Runtime and mruby-cfunc.,https://github.com/mobiruby/mruby-cocoa,https://github.com/mobiruby/mruby-cocoa.git,"",git
mruby-complex,"Paolo Bosetti, University of Trento",Complex numbers.,https://github.com/pbosetti/mruby-complex,https://github.com/pbosetti/mruby-complex.git,"",git
mruby-config,MATSUMOTO Ryosuke,With mruby we continuously switching between Ruby and C code. mruby-config gives you an easy way to maintain configuration values on both sides.,https://github.com/matsumotory/mruby-config,https://github.com/matsumotory/mruby-config.git,"",git
mruby-consul,Yohei Kawahara,Consul HTTP API Client.,https://github.com/inokappa/mruby-consul,https://github.com/inokappa/mruby-consul.git,"",git
mruby-correlation,MATSUMOTO Ryosuke,Array extended for correlation coefficient,https://github.com/matsumotory/mruby-correlation,https://github.com/matsumotory/mruby-correlation.git,"",git
mruby-criu,MATSUMOTO Ryosuke,"CRIU, Checkpoint Restart In Userspace for Linux, class",https://github.com/matsumotory/mruby-criu,https://github.com/matsumotory/mruby-criu.git,"",git
mruby-cross-compile-on-mac-osx,MATSUMOTO Ryosuke,"Cross compile osx, linux or win32 binary of mruby on Mac OSX",https://github.com/matsumotory/mruby-cross-compile-on-mac-osx,https://github.com/matsumotory/mruby-cross-compile-on-mac-osx.git,"",git
mruby-curl,mattn,CURL HTTP Client,https://github.com/mattn/mruby-curl,https://github.com/mattn/mruby-curl.git,"",git
mruby-curses,Jared Breeden,Curses for MRuby. Links to NCurses or PDCurses.,https://github.com/jbreeden/mruby-curses,https://github.com/jbreeden/mruby-curses.git,"",git
mruby-czmq,Hendrik Beskow,mruby bindings for czmq.,https://github.com/Asmod4n/mruby-czmq,https://github.com/Asmod4n/mruby-czmq.git,"",git
mruby-datadog,Yohei Kawahara,Datadog API Client.,https://github.com/inokappa/mruby-datadog,https://github.com/inokappa/mruby-datadog.git,"",git
mruby-digest,"Internet Initiative Japan., Inc.","MD5, RMD160, SHA1, SHA256, SHA384, SHA512 and HMAC Digests.",https://github.com/iij/mruby-digest,https://github.com/iij/mruby-digest.git,"",git
mruby-dir-glob,Alexander Gromnitsky,File.fnmatch() & Dir.glob(),https://github.com/gromnitsky/mruby-dir-glob.git,https://github.com/gromnitsky/mruby-dir-glob.git,"",git
mruby-dir,"Internet Initiative Japan., Inc.",Dir Class,https://github.com/iij/mruby-dir,https://github.com/iij/mruby-dir.git,"",git
mruby-discount,MATSUMOTO Ryosuke,html generater from markdown using discount,https://github.com/matsumotory/mruby-discount,https://github.com/matsumotory/mruby-discount.git,"",git
mruby-disque,MATSUMOTO Ryosuke,Disque client class,https://github.com/matsumotory/mruby-disque,https://github.com/matsumotory/mruby-disque.git,"",git
mruby-dll,mattn,DLL Windows Support,https://github.com/mattn/mruby-dll,https://github.com/mattn/mruby-dll.git,"",git
mruby-eject,mattn,Eject CD-ROM,https://github.com/mattn/mruby-eject,https://github.com/mattn/mruby-eject.git,"",git
mruby-env,iij,ENV class implementation,https://github.com/iij/mruby-env,https://github.com/iij/mruby-env.git,"",git
mruby-erb,Jared Breeden,Port of CRuby's ERB,https://github.com/jbreeden/mruby-erb,https://github.com/jbreeden/mruby-erb.git,"",git
mruby-errno,iij,Errno module,https://github.com/iij/mruby-errno,https://github.com/iij/mruby-errno.git,"",git
mruby-etcd,Uchio Kondo,Simple etcd API wrapper,https://github.com/udzura/mruby-etcd,https://github.com/udzura/mruby-etcd.git,"",git
mruby-eventfd,MATSUMOTO Ryosuke,Eventfd class,https://github.com/matsumotory/mruby-eventfd,https://github.com/matsumotory/mruby-eventfd.git,"",git
mruby-fast-remote-check,MATSUMOTO Ryosuke,FastRemoteCheck can perform port listening check at high speed using raw socket,https://github.com/matsumotory/mruby-fast-remote-check,https://github.com/matsumotory/mruby-fast-remote-check.git,"",git
mruby-file-stat,ksss,File::Stat class implementation,https://github.com/ksss/mruby-file-stat,https://github.com/ksss/mruby-file-stat.git,"",git
mruby-filemagic,k0u5uk3,filemagic class implementation,https://github.com/k0u5uk3/mruby-filemagic.git,https://github.com/k0u5uk3/mruby-filemagic.git,"",git
mruby-float4,Tomasz Dabrowski,small vector classes for mruby,https://github.com/dabroz/mruby-float4,https://github.com/dabroz/mruby-float4.git,"",git
mruby-fltk3,mattn,FLTK3 GUI binding.,https://github.com/mattn/mruby-fltk3,https://github.com/mattn/mruby-fltk3.git,"",git
mruby-fluent-logger,Kentaro Yoshida,A structured logger for Fluentd.,https://github.com/y-ken/fluent-logger-mruby,https://github.com/y-ken/fluent-logger-mruby.git,"",git
mruby-forwardable,Masayoshi Takahashi,forwardable module for mruby,https://github.com/takahashim/mruby-forwardable,https://github.com/takahashim/mruby-forwardable.git,"",git
mruby-fsm,"Paolo Bosetti, University of Trento",Finite State Machine.,https://github.com/UniTN-Mechatronics/mruby-fsm,https://github.com/UniTN-Mechatronics/mruby-fsm.git,"",git
mruby-ftp,"Paolo Bosetti and Matteo Ragni, University of Trento",FTP client library.,https://github.com/UniTN-Mechatronics/mruby-ftp,https://github.com/UniTN-Mechatronics/mruby-ftp.git,"",git
mruby-geoip,MATSUMOTO Ryosuke,GeoIP(City) class using GeoIPCity.dat for mruby,https://github.com/matsumotory/mruby-geoip,https://github.com/matsumotory/mruby-geoip.git,"",git
mruby-getloadavg,takumakume,Linux getloadavg(3) module,https://github.com/takumakume/mruby-getloadavg,https://github.com/takumakume/mruby-getloadavg.git,"",git
mruby-getoptlong,Sergio Rubio <rubiojr@frameos.org>,An almost straight mruby port of Ruby's GetoptLong,https://github.com/rubiojr/mruby-getoptlong,https://github.com/rubiojr/mruby-getoptlong,"",git
mruby-getopts,"M&T Technology, Inc.",GNU getopt for mruby,https://github.com/mttech/mruby-getopts,https://github.com/mttech/mruby-getopts,"",git
mruby-getpass,Hendrik Beskow,Read passwords from the command prompt,https://github.com/Asmod4n/mruby-getpass,https://github.com/Asmod4n/mruby-getpass.git,"",git
mruby-girffi-docgen,ppibburr,Generates YARD docuemntation for bindings generated by mruby-girffi,https://github.com/ppibburr/mruby-girffi-docgen,https://github.com/ppibburr/mruby-girffi-docgen.git,"",git
mruby-girffi,ppibburr,"GObjectIntrospection bindings that dynamically bind GLib based libraries. ie, GLib,Gtk,WebKit ...",https://github.com/ppibburr/mruby-girffi,https://github.com/ppibburr/mruby-girffi.git,"",git
mruby-gles,xxuejie,OpenGL ES 2.0 binding,https://github.com/xxuejie/mruby-gles,https://github.com/xxuejie/mruby-gles.git,"",git
mruby-glfw3,Takeshi Watanabe,GLFW3 binding,https://github.com/take-cheeze/mruby-glfw3,https://github.com/take-cheeze/mruby-glfw3.git,"",git
mruby-glib,Jared Breeden,Cross platform standard library components à la GLib,https://github.com/jbreeden/mruby-glib,https://github.com/jbreeden/mruby-glib.git,"",git
mruby-glib2,ppibburr,Bindings to GLib 2.x. uses mruby-girffi,https://github.com/ppibburr/mruby-glib2,https://github.com/ppibburr/mruby-glib2.git,"",git
mruby-gmp-bignum,Ray Chason,GMP-based Bignum implementation for mruby,https://github.com/chasonr/mruby-gmp-bignum,https://github.com/chasonr/mruby-gmp-bignum.git,"",git
mruby-gntp,mattn,Growl Notification Transfer Protocol,https://github.com/mattn/mruby-gntp,https://github.com/mattn/mruby-gntp.git,"",git
mruby-gobject-introspection,ppibburr,bindings to GobjectIntropsection (libgirepository),https://github.com/ppibburr/mruby-gobject-introspection,https://github.com/ppibburr/mruby-gobject-introspection.git,"",git
mruby-gobject,ppibburr,Bindings to GObject. uses mruby-girffi,https://github.com/ppibburr/mruby-gobject,https://github.com/ppibburr/mruby-gobject.git,"",git
mruby-growthforecast,MATSUMOTO Ryosuke,GrowthForecast client class,https://github.com/matsumotory/mruby-growthforecast,https://github.com/matsumotory/mruby-growthforecast.git,"",git
mruby-gsl,"Paolo Bosetti, University of Trento",Wrapper to GNU Scientific Library (GSL).,https://github.com/UniTN-Mechatronics/mruby-gsl,https://github.com/UniTN-Mechatronics/mruby-gsl.git,"",git
mruby-gtk2,ppibburr,Bindings to Gtk2. uses mruby-girffi,https://github.com/ppibburr/mruby-gtk2,https://github.com/ppibburr/mruby-gtk2.git,"",git
mruby-gtk3,ppibburr,Bindings to Gtk3. uses mruby-girffi,https://github.com/ppibburr/mruby-gtk3,https://github.com/ppibburr/mruby-gtk3.git,"",git
mruby-hashie,"[""Michael Bleigh"", ""Jerry Cheung"", ""Takashi Kokubun""]",Collection of classes and mixins that makes hashes more powerful,https://github.com/k0kubun/mruby-hashie,https://github.com/k0kubun/mruby-hashie.git,"",git
mruby-hibari,Kentaro Kuribayashi,A Web application framework for Web servers that support mruby and Rack-based API,https://github.com/kentaro/mruby-hibari,https://github.com/kentaro/mruby-hibari.git,"",git
mruby-hiredis,Hendrik Beskow,hiredis bindings for mruby.,https://github.com/Asmod4n/mruby-hiredis,https://github.com/Asmod4n/mruby-hiredis.git,"",git
mruby-hogun,qtakamitsu,convenient library to build the command line interface.,https://github.com/qtkmz/mruby-hogun,https://github.com/qtkmz/mruby-hogun.git,"",git
mruby-host-stats,Julien Ammous,"library to gather stats on running system (cpu, memory, ...).",https://github.com/schmurfy/host-stats,https://github.com/schmurfy/host-stats.git,"",git
mruby-hs-regexp,Masamitsu MURASE,Light-weight Henry Spencer's Regular Expression,https://github.com/masamitsu-murase/mruby-hs-regexp,https://github.com/masamitsu-murase/mruby-hs-regexp.git,"",git
mruby-http,mattn,HTTP Parser,https://github.com/mattn/mruby-http,https://github.com/mattn/mruby-http.git,"",git
mruby-http2,MATSUMOTO Ryosuke,HTTP2 module for mruby,https://github.com/matsumotory/mruby-http2,https://github.com/matsumotory/mruby-http2.git,"",git
mruby-httprequest,MATSUMOTO Ryosuke,create http request class,https://github.com/matsumotory/mruby-httprequest,https://github.com/matsumotory/mruby-httprequest.git,"",git
mruby-httpsclient,Hendrik Beskow,A simple https only Client,https://github.com/Asmod4n/mruby-httpsclient,https://github.com/Asmod4n/mruby-httpsclient.git,"",git
mruby-iconv,mattn,libiconv interface,https://github.com/mattn/mruby-iconv,https://github.com/mattn/mruby-iconv.git,"",git
mruby-iijson,iij,JSON parser and generator,https://github.com/iij/mruby-iijson,https://github.com/iij/mruby-iijson.git,"",git
mruby-inotify,FlavourSys Technology GmbH,Inotify bindings,https://github.com/FlavourSys/mruby-inotify,https://github.com/FlavourSys/mruby-inotify.git,"",git
mruby-io-console,ksss,The implementation of io/console as CRuby.,https://github.com/ksss/mruby-io-console,https://github.com/ksss/mruby-io-console.git,"",git
mruby-io-copy_stream,ksss,IO.copy_stream method for mruby,https://github.com/ksss/mruby-io-copy_stream,https://github.com/ksss/mruby-io-copy_stream.git,"",git
mruby-io,iij,"IO, File class implementation",https://github.com/iij/mruby-io,https://github.com/iij/mruby-io.git,"",git
mruby-ionice,takumakume,Ionice class,https://github.com/takumakume/mruby-ionice,https://github.com/takumakume/mruby-ionice.git,"",git
mruby-ipaddr,iij,IPAddr class,https://github.com/iij/mruby-ipaddr,https://github.com/iij/mruby-ipaddr.git,"",git
mruby-ipfilter,tap1ra,IPFilter class,https://github.com/pepabo/mruby-ipfilter,https://github.com/pepabo/mruby-ipfilter.git,"",git
mruby-ipvs,YOSHIKAWA Ryota,interface to IP Virtual Server (IPVS) for mruby,https://github.com/rrreeeyyy/mruby-ipvs,https://github.com/rrreeeyyy/mruby-ipvs,--recursive,git
mruby-javascriptcore,ppibburr,bindings to an from JavaScript for JavaScriptCore from WebKitGTK,https://github.com/ppibburr/mruby-javascriptcore,https://github.com/ppibburr/mruby-javascriptcore.git,"",git
mruby-jpeg,Carson McDonald,JPeg library,https://github.com/carsonmcdonald/mruby-jpeg,https://github.com/carsonmcdonald/mruby-jpeg.git,"",git
mruby-json,mattn,JavaScript Object Notation,https://github.com/mattn/mruby-json,https://github.com/mattn/mruby-json.git,"",git
mruby-jvm,jkutner,Utility for invoking the JVM,https://github.com/jkutner/mruby-jvm,https://github.com/jkutner/mruby-jvm.git,"",git
mruby-jwt,Naoki AINOYA,A mruby implementation of JSON Web Token draft 06,https://github.com/prevs-io/mruby-jwt,https://github.com/prevs-io/mruby-jwt.git,"",git
mruby-k2hash,Ryo Okubo,mruby binding of yahoojapan/k2hash,https://github.com/syucream/mruby-k2hash,https://github.com/syucream/mruby-k2hash.git,"",git
mruby-kmp,santazhang,KMP searching algorithm in mruby,https://github.com/santazhang/mruby-kmp,https://github.com/santazhang/mruby-kmp.git,"",git
mruby-leapmotion,crimsonwoods,Providing wrapper classes for Leap Motion SDK.,https://github.com/crimsonwoods/mruby-leapmotion,https://github.com/crimsonwoods/mruby-leapmotion.git,"",git
mruby-leveldb,Takeshi Watanabe,mruby LevelDB binding,https://github.com/take-cheeze/mruby-leveldb,https://github.com/take-cheeze/mruby-leveldb.git,"",git
mruby-libqrng,cremno,libQRNG interface,https://github.com/cremno/mruby-libqrng,https://github.com/cremno/mruby-libqrng.git,"",git
mruby-libsodium,Hendrik Beskow,mruby wrapper for libsodium.,https://github.com/Asmod4n/mruby-libsodium,https://github.com/Asmod4n/mruby-libsodium.git,"",git
mruby-limits,ksss,Const collection of limits.h,https://github.com/ksss/mruby-limits,https://github.com/ksss/mruby-limits.git,"",git
mruby-linenoise,Hendrik Beskow,"linenoise for mruby, a line editing library akin to readline",https://github.com/Asmod4n/mruby-linenoise,https://github.com/Asmod4n/mruby-linenoise.git,"",git
mruby-linux-namespace,Russel Hunter Yukawa / Uchio Kondo,A mgem to utilize linux namespaces,https://github.com/haconiwa/mruby-linux-namespace,https://github.com/haconiwa/mruby-linux-namespace.git,"",git
mruby-lmdb,Hendrik Beskow,mruby wrapper for Lightning Memory-Mapped Database from Symas.,https://github.com/Asmod4n/mruby-lmdb,https://github.com/Asmod4n/mruby-lmdb.git,"",git
mruby-localmemcache,MATSUMOTO Ryosuke,localmemcache binding,https://github.com/matsumotory/mruby-localmemcache,https://github.com/matsumotory/mruby-localmemcache.git,"",git
mruby-logger,katzer,A simple but sophisticated logging utility,https://github.com/katzer/mruby-logger,https://github.com/katzer/mruby-logger.git,"",git
mruby-lruc,MATSUMOTO Ryosuke,Least Recently Used(LRU) cache using lruc,https://github.com/matsumotory/mruby-lruc,https://github.com/matsumotory/mruby-lruc.git,"",git
mruby-lua,Daisuke YAMAGUCHI,Lua script engine,https://github.com/dyama/mruby-lua,https://github.com/dyama/mruby-lua.git,"",git
mruby-m2x,AT&T M2X Team,Client library for AT&T’s M2X API,https://github.com/attm2x/m2x-mruby,https://github.com/attm2x/m2x-mruby.git,"",git
mruby-markdown,Carson McDonald,Markdown library,https://github.com/carsonmcdonald/mruby-markdown,https://github.com/carsonmcdonald/mruby-markdown.git,--recursive,git
mruby-marshal,Takeshi Watanabe,Marshal module for mruby,https://github.com/take-cheeze/mruby-marshal,https://github.com/take-cheeze/mruby-marshal.git,"",git
mruby-matrix,listrophy,Matrix and vector library,https://github.com/listrophy/mruby-matrix,https://github.com/listrophy/mruby-matrix.git,"",git
mruby-maxminddb,Kenichi Mitsugi,mruby [GeoIP2 MaxMind DB](http://maxmind.github.io/MaxMind-DB/) reader,https://github.com/happysiro/mruby-maxminddb,https://github.com/happysiro/mruby-maxminddb,"",git
mruby-md5,mattn,MD5 Hash Alghorithm,https://github.com/mattn/mruby-md5,https://github.com/mattn/mruby-md5.git,"",git
mruby-mecab,mattn,Japanese morphological analyzer,https://github.com/mattn/mruby-mecab,https://github.com/mattn/mruby-mecab.git,"",git
